FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;COMUNA;FECHA(YYYYMMDD)
090812;0;;;390.281;Concepcion;20090812
090813;0;;;68.5317;Concepcion;20090813
090814;0;;;319.466;Concepcion;20090814
090815;0;;;56.5543;Concepcion;20090815
090816;0;;;346.039;Concepcion;20090816
090817;0;;;205.158;Concepcion;20090817
090818;0;;;672.009;Concepcion;20090818
090819;0;;;157.703;Concepcion;20090819
090820;0;;;489.696;Concepcion;20090820
090821;0;;;187.773;Concepcion;20090821
090822;0;;;264.776;Concepcion;20090822
090823;0;;;131.79;Concepcion;20090823
090824;0;;;260.222;Concepcion;20090824
090825;0;;;67.1625;Concepcion;20090825
090826;0;;;440.408;Concepcion;20090826
090827;0;;;194.54;Concepcion;20090827
090828;0;;;21.8467;Concepcion;20090828
090829;0;;;1.355;Concepcion;20090829
090830;0;;;1.35515;Concepcion;20090830
090831;0;;;1.35506;Concepcion;20090831
090901;0;;;1.35503;Concepcion;20090901
090902;0;;;1.35498;Concepcion;20090902
090903;0;;;1.355;Concepcion;20090903
090904;0;;;1.35268;Concepcion;20090904
090905;0;;;1.35523;Concepcion;20090905
090906;0;;;1.35507;Concepcion;20090906
090907;0;;;1.35508;Concepcion;20090907
090908;0;;;1.35542;Concepcion;20090908
090909;0;;;;Concepcion;20090909
090910;0;;;;Concepcion;20090910
090911;0;;;;Concepcion;20090911
090912;0;;;;Concepcion;20090912
090913;0;;;;Concepcion;20090913
090914;0;;;;Concepcion;20090914
090915;0;;;;Concepcion;20090915
090916;0;;;;Concepcion;20090916
090917;0;;;;Concepcion;20090917
090918;0;;;;Concepcion;20090918
090919;0;;;;Concepcion;20090919
090920;0;;;;Concepcion;20090920
090921;0;;;;Concepcion;20090921
090922;0;;;;Concepcion;20090922
090923;0;;;;Concepcion;20090923
090924;0;;;;Concepcion;20090924
090925;0;;;;Concepcion;20090925
090926;0;;;;Concepcion;20090926
090927;0;;;;Concepcion;20090927
090928;0;;;;Concepcion;20090928
090929;0;;;;Concepcion;20090929
090930;0;;;;Concepcion;20090930
091001;0;;;;Concepcion;20091001
091002;0;;;;Concepcion;20091002
091003;0;;;;Concepcion;20091003
091004;0;;;;Concepcion;20091004
091005;0;;;;Concepcion;20091005
091006;0;;;;Concepcion;20091006
091007;0;;;12.19;Concepcion;20091007
091008;0;;;127.3;Concepcion;20091008
091009;0;;;177.4;Concepcion;20091009
091010;0;;;113.8;Concepcion;20091010
091011;0;;;50.8;Concepcion;20091011
