FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;FECHA(YYYYMMDD)
000101;0;15,3333;;;20000101
000102;0;16,0833;;;20000102
000103;0;19,2083;;;20000103
000104;0;19,5;;;20000104
000105;0;15;;;20000105
000106;0;16,7083;;;20000106
000107;0;16,5417;;;20000107
000108;0;13,0417;;;20000108
000109;0;17,125;;;20000109
000110;0;18,1667;;;20000110
000111;0;24,7917;;;20000111
000112;0;19,5;;;20000112
000113;0;10,8636;;;20000113
000114;0;11,4167;;;20000114
000115;0;11,4583;;;20000115
000116;0;10,875;;;20000116
000117;0;14,5833;;;20000117
000118;0;26,125;;;20000118
000119;0;24,2083;;;20000119
000120;0;25,7917;;;20000120
000121;0;21,5;;;20000121
000122;0;22,3636;;;20000122
000123;0;21,7083;;;20000123
000124;0;19,375;;;20000124
000125;0;27,9167;;;20000125
000126;0;29,0417;;;20000126
000127;0;26,1667;;;20000127
000128;0;22,375;;;20000128
000129;0;13,0417;;;20000129
000130;0;10,8333;;;20000130
000131;0;12,875;;;20000131
000201;0;9,91304;;;20000201
000202;0;11,0833;;;20000202
000203;0;19,8333;;;20000203
000204;0;17;;;20000204
000205;0;13,625;;;20000205
000206;0;;;;20000206
000207;0;;;;20000207
000208;0;21,2917;;;20000208
000209;0;19;;;20000209
000210;0;14,25;;;20000210
000211;0;17;;;20000211
000212;0;10,2917;;;20000212
000213;0;18,7917;;;20000213
000214;0;27,1667;;;20000214
000215;0;20,875;;;20000215
000216;0;22,5833;;;20000216
000217;0;20,8333;;;20000217
000218;0;22,125;;;20000218
000219;0;19,6667;;;20000219
000220;0;21,875;;;20000220
000221;0;25,125;;;20000221
000222;0;21,6667;;;20000222
000223;0;30,6667;;;20000223
000224;0;25,8333;;;20000224
000225;0;21,375;;;20000225
000226;0;8,66666;;;20000226
000227;0;8,08333;;;20000227
000228;0;21,5454;;;20000228
000229;0;18,625;;;20000229
000301;0;16;;;20000301
000302;0;23,5833;;;20000302
000303;0;30,375;;;20000303
000304;0;32,7083;;;20000304
000305;0;32,3333;;;20000305
000306;0;37,0416;;;20000306
000307;0;41,25;;;20000307
000308;0;28,6667;;;20000308
000309;0;21,7727;;;20000309
000310;0;26,2083;;;20000310
000311;0;24,875;;;20000311
000312;0;16,875;;;20000312
000313;0;13,0417;;;20000313
000314;0;22,625;;;20000314
000315;0;23,5417;;;20000315
000316;0;18,0833;;;20000316
000317;0;25,5;;;20000317
000318;0;28,8333;;;20000318
000319;0;20,5417;;;20000319
000320;0;19,7083;;;20000320
000321;0;36,9166;;;20000321
000322;0;35,5833;;;20000322
000323;0;25,1667;;;20000323
000324;0;35,6666;;;20000324
000325;0;41,5416;;;20000325
000326;0;33,7916;;;20000326
000327;0;23,3182;;;20000327
000328;0;49,7142;;;20000328
000329;0;43,7142;;;20000329
000330;0;52,375;;;20000330
000331;0;47;;;20000331
000401;0;41,5416;;;20000401
000402;0;21,9583;;;20000402
000403;0;22;;;20000403
000404;0;32,625;;;20000404
000405;0;38,6666;;;20000405
000406;0;30,6667;;;20000406
000407;0;36,6364;;;20000407
000408;0;31,375;;;20000408
000409;0;33,125;;;20000409
000410;0;37,5;;;20000410
000411;0;66,875;;;20000411
000412;0;50,2105;;;20000412
000413;0;42,5416;;;20000413
000414;0;30,7083;;;20000414
000415;0;24,5417;;;20000415
000416;0;21,375;;;20000416
000417;0;39,9166;;;20000417
000418;0;59,4166;;;20000418
000419;0;71,95;;;20000419
000420;0;;;;20000420
